; CBMXfer Disassembler, Platform File
; For Commodore LCD
;---------------------------------------------------

0015,MEM_0015                 ,$0015
03A1,MON_MMU_MODE            ,$03A1 MMU Mode 0=RAM, 1=APPL, 2=KERN
03A3,V1541_FILE_MODE         ,$03A3
03A4,V1541_FILE_TYPE         ,$03A4
03AC,MEM_03AC                ,$03AC
039D,SXREG                   ,$039D
03B4,FORMAT                  ,$03B4
03B7,MEM_03B7                ,$03B7
03C0,MEM_03C0                ,$03C0
03C3,RAMVEC_BACKUP           ,$03C3 Backs up KERNAL RAM vectors, 36 bytes: $03C3-$03E6
03E8,LSTP                    ,$03E8
03E9,LSXP                    ,$03E9
03EA,SavedCursorX            ,$03EA Saved Cursor X
03EB,SavedCursorY            ,$03EB Saved Cursor Y
03EC,KEYD                    ,$03EC Key Down
03F6,MEM_03F6                ,$03F6 Keyboard related
03F7,MEM_03F7                ,$03F7 Keyboard related
03F8,MEM_03F8                ,$03F8 Keyboard related
03F9,MEM_03F9                ,$03F9 Keyboard related
03FA,MEM_03FA                ,$03FA Possibly Virtual 1541 or Keyboard related
03FB,SWITCH_COUNT            ,$03FB Counts down to debounce switching upper/lowercase on Shift-Commodore
03FC,CAPS_FLAGS              ,$03FC Caps Flags
0405,LDTND                   ,$0405
0406,VERCHK                  ,$0406
0407,WRBASE                  ,$0407 Temp storage (was low byte of tape write pointer in other CBMs)
0408,BSOUR                   ,$0408
0409,BSOUR1                  ,$0409
040A,R2D2                    ,$040A Star Wars droid
040B,C3P0                    ,$040B Star Wars robot
040C,IECCNT                  ,$040C IEC
0411,RTC_IDX                 ,$0411 RTC Index
0412,RTC_DATA                ,$0412 8 bytes (see RTC_ constants below)
0450,HULP                    ,$0450
0470,LINE_INPUT_BUF          ,$0470 Line Input Buffer. Used for a line of input in the monitor and menu
04C0,MEM_04C0                ,$04C0

;-- VIA #1 Registers
F800,VIA1_PORTB              ,$F800
F801,VIA1_PORTA              ,$F801
F802,VIA1_DDRB               ,$F802
F803,VIA1_DDRA               ,$F803
F804,VIA1_T1CL               ,$F804
F805,VIA1_T1CH               ,$F805
F806,VIA1_T1LL               ,$F806
F807,VIA1_T1LH               ,$F807
F808,VIA1_T2CL               ,$F808
F809,VIA1_T2CH               ,$F809
F80A,VIA1_SR                 ,$F80A
F80B,VIA1_ACR                ,$F80B
F80C,VIA1_PCR                ,$F80C
F80D,VIA1_IFR                ,$F80D
F80E,VIA1_IER                ,$F80E
F80F,VIA1_PORTANHS           ,$F80F

;-- VIA #2 Registers
F880,VIA2_PORTB              ,$F880
F881,VIA2_PORTA              ,$F881
F882,VIA2_DDRB               ,$F882
F883,VIA2_DDRA               ,$F883
F884,VIA2_T1CL               ,$F884
F885,VIA2_T1CH               ,$F885
F886,VIA2_T1LL               ,$F886
F887,VIA2_T1LH               ,$F887
F888,VIA2_T2CL               ,$F888
F889,VIA2_T2CH               ,$F889
F88A,VIA2_SR                 ,$F88A
F88B,VIA2_ACR                ,$F88B
F88C,VIA2_PCR                ,$F88C
F88D,VIA2_IFR                ,$F88D
F88E,VIA2_IER                ,$F88E
F88F,VIA2_PORTANHS           ,$F88F

;-- ACIA Registers
F980,ACIA_DATA               ,$F980
F981,ACIA_ST                 ,$F981
F982,ACIA_CMD                ,$F982
F983,ACIA_CTRL               ,$F983

;-- MMU Registers
FA00,MMU_MODE_KERN           ,$FA00 Any write here switches to the "KERN" MMU mode.
FA80,MMU_MODE_APPL           ,$FA80 Any write here switches to the "APPL" MMU mode.
FB00,MMU_MODE_RAM            ,$FB00 Any write here switches to the "RAM" MMU mode.
FB80,MMU_RECALL_MODE         ,$FB80 Any write here recalls the previously saved mode.
FC00,MMU_SAVE_MODE           ,$FC00 Any write here saves the current mode so it can be recalled.
FC80,MMU_MODE_TEST           ,$FC80 Any write here switches to the "TEST" MMU mode. (Unused)
FD00,MMU_OFFS_APPL_W1        ,$FD00 Sets offset for $1000-3FFF "APPL Window 1" in the "APPL" MMU mode.
FD80,MMU_OFFS_APPL_W2        ,$FD80 Sets offset for $4000-7FFF "APPL Window 2" in the "APPL" MMU mode.
FE00,MMU_OFFS_APPL_W3        ,$FE00 Sets offset for $8000-BFFF "APPL Window 3" in the "APPL" MMU mode.
FE80,MMU_OFFS_APPL_W4        ,$FE80 Sets offset for $C000-F7FF "APPL Window 4" in the "APPL" MMU mode.
FF00,MMU_OFFS_KERN_W         ,$FF00 Sets offset for $4000-7FFF "KERN Window" in the "KERN" MMU mode.

;-- LCD Controller Registers
FF80,LCDCTRL_REG0            ,$FF80
FF81,LCDCTRL_REG1            ,$FF81
FF82,LCDCTRL_REG2            ,$FF82
FF83,LCDCTRL_REG3            ,$FF83
