; C128 Platform file.
; Taken from a PDF of the C128 Programmers reference guide, pasted to file, cleaned, then
; imported, saved, cleaned again for duplicates, merged with imported ReGenerator labels and comment files,
; added additional chip register symbols
;---------------------------------------------------------------------------------------------------------
0000,D6510,6510 Data Direction Register
1175,T4,4469
1177,VTEMP3,Graphic Temp Storage
1178,VTEMP4,4472
1179,VTEMP5,4473
117A,ADRAY1,Ptr to routine: Convert Float -> Integer
117C,ADRAY2,Ptr to routine: Convert Integer -> FLOAT
117E,SPRITE_DATA,Sprite Speed/Direction Tables ($117E-D5)
11D6,VIC_SAVE,Copy of VIC Reg's
11EB,UPPER_LOWER,Pointer to Upper/Lower Char Set for CHAR
11EC,UPPER_GRAPHIC,Ptr. to Upper/Graphic Char Set
11ED,DOSSA,Temp storage for file SA during RECORD cmd
1200,OLDTXT,Previous BASIC Line
1202,CONTPNT,Pointer: BASIC Statement for CONTINUE
1204,PUCHRS,4612
1204,PUFILL,PRINT USING Fill Symbol
1205,PUCOMA,PRINT USING Comma Symbol
1206,PUDOT,PRINT USING D.P. Symbol
1207,PUMONY,Print Using Monetary Symbol
1208,ERRNUM,Used by Error Trapping Routine - Last Err No
1209,ERRLIN,Line # of Last Error. $FFFF if No Error
120B,TRAPNO,Line to go to on error - $FFFF if none set
120D,TMPTRP,Hold Trap # of Tempor.
120E,ERRTXT,4622
1210,TEXT_TOP,Top of Text Pointer
1212,MAX_MEM_0,Highest Address Available to BASIC in RAM 0
1214,TMPTXT,Used by DO-LOOP. Could be Mult. Assigned
1216,TMPLIN,4630
1218,USRPOK,4632
121B,RNDX,4635
1220,CIRCLE_SEGMENT,Degrees Per CIRCLE 51:6MENT
1221,DEJAVU,'Cold' or 'Warm' Reset Status
1222,TEMPO_RATE,4642
1223,VOICES,4643
1229,NTIME,4649
122B,OCTAVE,4651
122C,SHARP,4652
122D,PITCH,4653
122F,VOICE,4655
1230,WAVE0,4656
1233,DNOTE,4659
1234,FLTSAV,4660
1238,FLTFLG,4664
1239,NIBBLE,4665
123A,TONNUM,4666
123B,TONVAL,4667
123E,PARCNT,4668
123F,ATKTAB,4669
1249,SUSTAB,4681
1253,WAVTAB,4691
125D,PULSLW,4701
1267,PULSHI,4711
1271,FILTERS,4721
1276,INT_TRIP_FLAG,4726
1279,INT_ADR_LO,4729
127C,INT_ADR_HI,4732
127F,INTVAL,4735
1280,COLTYP,4736
1281,SOUND_VOICE,4737
1282,SOUND_TIME_LO,4738
1285,SOUND_TIME_HI,4741
1288,SOUND_MAX_LO,4744
128B,SOUND_MAX_HI,4747
128E,SOUND_MIN_LO,4750
1291,SOUND_MIN_HI,4753
1294,SOUND_DIRECTION,4756
1297,SOUND_STEP_LO,4759
129A,SOUND_STEP_HI,4762
129D,SOUND_FREQ_LO,4765
12A0,SOUND_FREQ_HI,4768
12A3,TEMP_TIME_LO,4771
12A4,TEMP_TIME_HI,4772
12A5,TEMP_MAX_LO,4773
12A6,TEMP_MAX_HI,4774
12A7,TEMP_MIN_LO,4775
12A8,TEMP_MIN_HI,4776
12A9,TEMP_DIRECTION,4777
12AA,TEMP_STEP_LO,4778
12AB,TEMP_STEP_HI,4779
12AC,TEMP_FREQ_LO,4780
12AD,TEMP_FREQ_HI,4781
12AE,TEMP_PULSE_LO,4782
12AF,TEMP_PULSE_HI,4783
12B0,TEMP_WAVEFORM,4784
12B1,POT_TEMP_1,Temporaries for 'POT' Function
12B2,POT_TEMP_2,4786
12B3,WINDOW_TEMP,4787
12B7,SAVRAM,Used BY SPRDEF & SAVSPR
12FA,DEFMOD,Used BY SPRDEF & SAVSPR
12FB,LINCNT,Used BY SPRDEF & SAVSPR
12FC,SPRITE_NUMBER,Used BY SPRDEF & SAVSPR
12FD,IRQ_WRAP_FLAG,Used BY BASIC IRQ to BLOCK All BUT ONE IRQ CALL
1300,APPAREA,Application Program Area $1300-$1BFF
1C00,RAMBOT,Start Of Basic Text $1C00-$EFFF (KERNAL sets MEMBOT here)
2000,VICBMP,VIC BITMAP (8KB
4000,HARD_RESET,COLD ENTRY
4000,STARTBASIC,C128 BASIC LO ROM / Start of BASIC Text if Bit Map is allocated (RAM) $4000-$EFFF
4003,SOFT_RESET,WARM ENTRY
4006,BASIC_IRQ,IRQ ENTRY
;---- BASIC
AF00,AYINT,Convert F.P. to Integer
AF03,GIVAYF,Convert Integer to F.P.
AF06,FOUT,Convert F.P. to ASCII String
AF09,VAL_l,Convert ASCII String to F.P.
AF0C,GETADR,Convert F.P. to an Address
AF0F,FLOATC,Convert Address to F.P.
AF12,FSUB,MEM - FACC
AF15,FSUBT,ARG - FACC
AF18,FADD,MEM + FACC
AF1B,FADDT,ARG - FACC
AF1E,FMULT,MEM * FACC
AF21,FMULTT,ARG * FACC
AF24,FDIV,MEM / FACC
AF27,FDIVT,ARG / FACC
AF2A,LOG,Compute Natural LOG Of FACC
AF2D,INT,Perform BASIC INT On FACC
AF30,SQR,Compute Square Root OF FACC
AF33,NEGOP,Negate FACC
AF36,FPWR,Raise ARG to The Mem Power
AF39,FPWRT,Raise ARG to The FACC Power
AF3C,EXP,Compute EXP Of FACC
AF3F,COS,Compute COS Of FACC
AF42,SIN,Compute SIN Of FACC
AF45,TAN,Compute TAN Of FACC
AF48,ATN,Compute ATN Of FACC
AF4B,ROUND,Round FACC
AF4E,ABS,Absolute Value Of FACC
AF51,SIGN,Test Sign Of FACC
AF54,FCOMP,Compare FACC With Memory
AF57,RND 0,Generate Random F.P. Number
AF5A,CONUPK,Move RAM MEM to ARG
AF5D,ROMUPK,Move ROM MEM to ARG
AF60,MOVFRM,Move RAM MEM to FACC
AF63,MOVFM,Move ROM MEM to FACC
AF66,MOVMF,Move FACC to MEM
AF69,MOVFA,Move ARG to FACC
AF6C,MOVAF,Move FACC to ARG
AF6F,OPTAB,44911
AF72,DRAWLN,44914
AF75,GPLOT,44917
AF78,CIRSUB,44920
AF7B,RUN,44923
AF7E,RUNC,44926
AF81,CLEAR,44929
AF84,NEW,44932
AF87,LNKPRG,44935
AF8A,CRUNCH,44938
AF8D,FNDLIN,44941
AF90,NEWSTT,44944
AF93,EVAL,44947
AF96,FRMEVL,44950
AF9C,SETEXC,44956
AF9F,LINGET,44959
AFA2,GARBA2,44962
AFA5,EXECUTE_A_LINE,44965
B000,CALL,MONITOR Call Entry
B003,BREAK,MONITOR Break Entry
B006,MONCMD,MONITOR Command Parser Entry
C000,CINT,Initialize Editor & Screen
C003,DISPLY,Display Charac in .A
C006,LP2,Get Key From IRQ Buffer
C009,LOOP5,Into A
C00C,PRINT,Print Character In .A
C00F,SCRORG,Get # of Scrn Rows
C012,SCNKEY,Scan Keyboard Subroutine
C015,REPEAT,Handle Repeat Key & Store Decoded Key
C018,PLOT,Read Or Set CRSR Position In X
C01B,CURSOR,Move 8563 Cursor Subroutine
C01E,ESCAPE,Execute ESC Function using chr in .A
C021,KEYSET,Redefine A Programmable Func'n Key
C024,IRQ,IRQ Entry
C027,INIT80,Initialize 80-Column Character Set
C02A,SWAPPER,Swap Editor Locals (in 40/80 change)
C02D,WINDOW,Set Top-Left or Bot-Right of Window
;---- Chips
D000,VICREG0,Sprite 0
D001,VICREG1,Sprite 0
D002,VICREG2,Sprite 1
D003,VICREG3,Sprite 1
D004,VICREG4,Sprite 2
D005,VICREG5,Sprite 2
D006,VICREG6,Sprite 3
D007,VICREG7,Sprite 3
D008,VICREG8,Sprite 4
D009,VICREG9,Sprite 4
D00A,VICREG10,Sprite 5
D00B,VICREG11,Sprite 5
D00C,VICREG12,Sprite 6
D00D,VICREG13,Sprite 6
D00E,VICREG14,Sprite 7
D00F,VICREG15,Sprite 7
D010,VICREG16,M.S. Bit of X-Location for Sprites 0 - 7
D011,VICREG17,VIC Control Register 1
D012,VICREG18,Raster Position
D013,VICREG19,Latch X Pos
D014,VICREG20,Latch Y Pos
D015,VICREG21,Sprite display Enable
D016,VICREG22,VIC Control Register 2
D017,VICREG23,Sprites Expand 2x Vertical (Y)
D018,VICREG24,VIC Memory Control Register
D019,VICREG25,VIC Interrupt Request Register (IRR)
D01A,VICREG26,VIC Interrupt Mask Register (IMR)
D01B,VICREG27,Sprite to Background Display Priority
D01C,VICREG28,Sprites Multi-Color Mode Select
D01D,VICREG29,Sprites Expand 2x Horizontal (X)
D01E,VICREG30,Sprite to Sprite Collision Detect
D01F,VICREG31,Sprite to Background Collision Detect
D020,VICREG32,Border Color
D021,VICREG33,Background Color 0
D022,VICREG34,Background Color 1, Multi-Color Register 0
D023,VICREG35,Background Color 2, Multi-Color Register 1
D024,VICREG36,Background Color 3
D025,VICREG37,Sprite Multi-Color Register 0
D026,VICREG38,Sprite Multi-Color Register 1
D027,VICREG39,Sprite 0 Color
D028,VICREG40,Sprite 1 Color
D029,VICREG41,Sprite 2 Color
D02A,VICREG42,Sprite 3 Color
D02B,VICREG43,Sprite 4 Color
D02C,VICREG44,Sprite 5 Color
D02D,VICREG45,Sprite 6 Color
D02E,VICREG46,Sprite 7 Color
D02F,VICREG47,C128: Port A* for Extended Keyboard
D030,VICREG48,C128: Switch to FAST-Mode
D400,SIDREG01,Voice 1: Frequency Control - Low-Byte
D401,SIDREG02,Voice 1: Frequency Control - High-Byte
D402,SIDREG03,Voice 1: Pulse Waveform Width - Low-Byte
D403,SIDREG04,Voice 1: Pulse Waveform Width - High-Nybble
D404,SIDREG05,Voice 1: Control Register
D405,SIDREG06,Voice 1: Attack / Decay Cycle Control
D406,SIDREG07,Voice 1: Sustain / Release Cycle Control
D407,SIDREG08,Voice 2: Frequency Control - Low-Byte
D408,SIDREG09,Voice 2: Frequency Control - High-Byte
D409,SIDREG10,Voice 2: Pulse Waveform Width - Low-Byte
D40A,SIDREG11,Voice 2: Pulse Waveform Width - High-Nybble
D40B,SIDREG12,Voice 2: Control Register
D40C,SIDREG13,Voice 2: Attack / Decay Cycle Control
D40D,SIDREG14,Voice 2: Sustain / Release Cycle Control
D40E,SIDREG15,Voice 3: Frequency Control - Low-Byte
D40F,SIDREG16,Voice 3: Frequency Control - High-Byte
